"filename", "language", "Dart", "XML", "comment", "blank", "total"
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/floating_nav_scaffold.dart", "Dart", 61, 0, 8, 4, 73
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/date_display_filed.dart", "Dart", 38, 0, 1, 4, 43
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/date_input.dart", "Dart", 99, 0, 0, 8, 107
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/dropdown_field.dart", "Dart", 91, 0, 0, 4, 95
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/gym_id_display_field.dart", "Dart", 38, 0, 1, 4, 43
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/multiline_text_input.dart", "Dart", 55, 0, 0, 4, 59
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/text_input_field.dart", "Dart", 79, 0, 0, 4, 83
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/inputs/toggle_input.dart", "Dart", 115, 0, 0, 5, 120
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/onboarding_topappbar.dart", "Dart", 45, 0, 1, 5, 51
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/snackbar.dart", "Dart", 108, 0, 3, 7, 118
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/top_app_bar.dart", "Dart", 88, 0, 17, 7, 112
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/theme/app_icons.dart", "Dart", 29, 0, 6, 5, 40
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/theme/app_theme.dart", "Dart", 89, 0, 2, 9, 100
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/utilities/gym_id_generator.dart", "Dart", 11, 0, 4, 4, 19
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/view_models/login_view_model.dart", "Dart", 35, 0, 0, 7, 42
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/view_models/sign_up_view_model.dart", "Dart", 45, 0, 0, 7, 52
"Total", "-", 9739, 53, 208, 826, 10826
